provider,url,nb_stops,nb_routes,nb_trips,error
De Waterbus,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-antwerpen-de-waterbus-gtfs-685.zip?alt=media,8.0,2.0,223.0,
DeWaterbus,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-antwerpen-dewaterbus-gtfs-1860.zip?alt=media,13.0,2.0,223.0,
Bürgerbus Leupoldsgrün (Landkreis Hof),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-bayern-burgerbus-leupoldsgrun-landkreis-hof-gtfs-1152.zip?alt=media,27.0,2.0,6.0,
HofBus,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-bayern-hofbus-gtfs-1252.zip?alt=media,345.0,39.0,1168.0,
naldo Verkehrsverbund,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-baden-wurttemberg-naldo-verkehrsverbund-gtfs-771.zip?alt=media,6819.0,423.0,31245.0,
Schweizer Reisen,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-unknown-schweizer-reisen-gtfs-774.zip?alt=media,2122.0,104.0,4935.0,
Société nationale des chemins de fer belges (NMBS-SNCB),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-sncb-gtfs-1859.zip?alt=media,2672.0,908.0,36933.0,
Société nationale des chemins de fer belges (NMBS-SNCB),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-sncb-gtfs-1859.zip?alt=media,2672.0,908.0,36933.0,
Société nationale des chemins de fer belges (NMBS-SNCB),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-societe-nationale-des-chemins-de-fer-belges-nmbs-sncb-gtfs-686.zip?alt=media,2670.0,915.0,36933.0,
Leipziger Verkehrsbetriebe (LVB),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-sachsen-leipziger-verkehrsbetriebe-lvb-gtfs-781.zip?alt=media,5299.0,604.0,79863.0,
"Autos Castellbisbal, Mohn, Oliveras, Rosanbus, Soler i Sauret, Tusgsal, Barcelona City Tour, Monbus, Avanza",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-barcelona-autos-castellbisbal-gtfs-892.zip?alt=media,4021.0,129.0,28581.0,
Société nationale des chemins de fer belges (NMBS-SNCB),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-societe-nationale-des-chemins-de-fer-belges-nmbs-sncb-gtfs-686.zip?alt=media,2670.0,915.0,36933.0,
El Transbordador de Vizcaya,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-bizkaia-el-transbordador-de-vizcaya-gtfs-1162.zip?alt=media,2.0,1.0,1627.0,
Funicular de Artxanda,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-bizkaia-funicular-de-artxanda-gtfs-1107.zip?alt=media,2.0,1.0,951.0,
Verkehrsverbund Mittelthüringen (VMT),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-thuringen-verkehrsverbund-mittelthuringen-vmt-gtfs-1172.zip?alt=media,,,,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
Metropolitano de Tenerife,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-santa-cruz-de-tenerife-metropolitano-de-tenerife-gtfs-788.zip?alt=media,25.0,2.0,12.0,
EMT Valencia,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-valencia-emt-valencia-gtfs-795.zip?alt=media,1151.0,45.0,2345.0,
Mobilités M - TouGo,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-mobilites-m---tougo-gtfs-1855.zip?alt=media,441.0,12.0,337.0,
Mobilités M - Transports du Pays Voironnais,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-mobilites-m---transports-du-pays-voironnais-gtfs-1854.zip?alt=media,1218.0,95.0,890.0,
"OVA-Aalen, OVA-Bopfingen, Beck+Schubert",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-baden-wurttemberg-ova-aalen-gtfs-772.zip?alt=media,3322.0,191.0,9248.0,
Saint-Etienne Métropole,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-saint-etienne-metropole-gtfs-627.zip?alt=media,2351.0,90.0,30832.0,
Mobilités M - Tag,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-transports-de-lagglomeration-grenobloise-tag-gtfs-1055.zip?alt=media,2920.0,67.0,13330.0,
Région Bourgogne-Franche-Comté,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-bourgogne-franche-comte-region-bourgogne-franche-comte-gtfs-659.zip?alt=media,804.0,34.0,773.0,
"Rurtalbahn GmbH, ABELLIO Rail, VIAS GmbH, Aachener Straßenbahn und Energieversorgungs-AG, Rurtalbus GmbH, WestVerkehr GmbH, Staatsbahnen, National Express, ASEAG Netliner",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-nordrhein-westfalen-rurtalbahn-gmbh-gtfs-1094.zip?alt=media,3193.0,370.0,21148.0,
