id,provider,country,region,bbox,url
1329,Department of Municipalities and Transport,AE,Abu Dhabi Emirate,"{'minimum_latitude': 22.9433339258299, 'maximum_latitude': 24.7482826522346, 'minimum_longitude': 51.6293473899297, 'maximum_longitude': 55.9240267180399, 'extracted_on': '2022-05-16T16:41:19+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ae-abu-dhabi-emirate-department-of-municipalities-and-transport-gtfs-1329.zip?alt=media
904,Road and Transport Authority (RTA),AE,Dubayy,"{'minimum_latitude': 24.720541, 'maximum_latitude': 25.411596, 'minimum_longitude': 54.970379, 'maximum_longitude': 56.132683, 'extracted_on': '2022-03-17T18:13:09+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ae-dubayy-road-and-transport-authority-rta-gtfs-904.zip?alt=media
2345,Municipality of Tirana,AL,Tirana,"{'minimum_latitude': 41.2830270048811, 'maximum_latitude': 41.3709366724, 'minimum_longitude': 19.6887486477716, 'maximum_longitude': 19.8680538792, 'extracted_on': '2025-01-09T23:17:29+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/al-tirana-municipality-of-tirana-gtfs-2345.zip?alt=media
1220,Colectivos Buenos Aires,AR,Buenos Aires,"{'minimum_latitude': -35.182685, 'maximum_latitude': -34.042402, 'minimum_longitude': -60.97663, 'maximum_longitude': -57.730345, 'extracted_on': '2022-03-23T23:10:49+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-buenos-aires-colectivos-buenos-aires-gtfs-1220.zip?alt=media
6,Subterráneos de Buenos Aires (SUBTE),AR,Buenos Aires,"{'minimum_latitude': None, 'maximum_latitude': None, 'minimum_longitude': None, 'maximum_longitude': None, 'extracted_on': '2022-03-14T20:02:35+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-buenos-aires-subterraneos-de-buenos-aires-subte-gtfs-6.zip?alt=media
647,Trenes Argentinos,AR,Buenos Aires,"{'minimum_latitude': -35.8738929, 'maximum_latitude': -34.0979051, 'minimum_longitude': -59.4336661, 'maximum_longitude': -57.8954007, 'extracted_on': '2022-03-16T21:17:16+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-buenos-aires-trenes-argentinos-gtfs-647.zip?alt=media
1146,Mar Chiquita SRL,AR,Córdoba,"{'minimum_latitude': -31.439129, 'maximum_latitude': -31.300363, 'minimum_longitude': -64.4933, 'maximum_longitude': -62.091409, 'extracted_on': '2022-03-23T18:32:49+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-cordoba-mar-chiquita-srl-gtfs-1146.zip?alt=media
2138,OBB Personenverkehr AG Kundenservice,AT,,"{'minimum_latitude': 0.0, 'maximum_latitude': 53.5530891787486, 'minimum_longitude': 0.0, 'maximum_longitude': 30.4887398988851, 'extracted_on': '2024-10-22T16:24:45+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/at-unknown-obb-gtfs-2138.zip?alt=media
648,"Wiener Lokalbahnen (WLB), Wiener Linien",AT,Wien,"{'minimum_latitude': 47.9995020902886, 'maximum_latitude': 48.3011051975429, 'minimum_longitude': 16.1977025532707, 'maximum_longitude': 16.5494019702052, 'extracted_on': '2022-03-16T21:18:29+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/at-wien-wiener-lokalbahnen-wlb-gtfs-648.zip?alt=media
935,Canberra Metro Operations,AU,Australian Capital Territory,"{'minimum_latitude': None, 'maximum_latitude': None, 'minimum_longitude': None, 'maximum_longitude': None, 'extracted_on': '2022-03-17T18:49:26+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-australian-capital-territory-canberra-metro-operations-gtfs-935.zip?alt=media
936,Transport Canberra,AU,Australian Capital Territory,"{'minimum_latitude': -35.476552, 'maximum_latitude': -35.146514, 'minimum_longitude': 148.993368, 'maximum_longitude': 149.190329, 'extracted_on': '2022-03-17T18:49:44+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-australian-capital-territory-transport-canberra-gtfs-936.zip?alt=media
666,Byron Easybus,AU,New South Wales,"{'minimum_latitude': -28.869311578117728, 'maximum_latitude': -27.38539101196501, 'minimum_longitude': 153.018619, 'maximum_longitude': 153.61247062683103, 'extracted_on': '2022-03-16T22:00:16+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-new-south-wales-byron-easybus-gtfs-666.zip?alt=media
